"keys","en","tr"
"d5.obs.hoca.002","Everyone's gone. Ada at the pension. Metin home. Ebru asleep in the racks. It's me and the schedule.","Herkes gitti. Ada pansiyonda. Metin evde. Ebru raflarda uyuyor. Bir ben varım, bir de çizelge."
"d5.obs.hoca.003","Just listening. That's all this ever had to be.","Sadece dinlemek. Zaten hep bu kadar olması gerekiyordu."
"d5.obs.hoca.004","Logged. Filed. Untouched. Good night.","Kaydedildi. Dosyalandı. Dokunulmadı. İyi geceler."
"d5.obs.hoca.005","...The room is the same. The tea is the same temperature.","...Oda aynı. Çay aynı sıcaklıkta."
"d5.obs.hoca.006","Three seconds. My dish's voice. And nothing in the world admits it happened.","Üç saniye. Çanağımın sesi. Ve dünyada hiçbir şey bunun yaşandığını kabul etmiyor."
"d5.obs.sys.001","IAA DECLARATION, ARTICLE 8: NO REPLY TO A CONFIRMED SIGNAL SHALL BE SENT...","IAA BİLDİRGESİ, MADDE 8: DOĞRULANMIŞ BİR SİNYALE HİÇBİR YANIT GÖNDERİLEMEZ..."
"d5.obs.sys.002","...WITHOUT PRIOR INTERNATIONAL CONSULTATION. SIGNED, FORTY YEARS AGO, BY EVERYONE.","...ÖNCEDEN ULUSLARARASI İSTİŞARE YAPILMADAN. KIRK YIL ÖNCE, HERKES TARAFINDAN İMZALANDI."
"d5.obs.sys.003","SCHEDULE CELL OPEN. VERBS: LISTEN / LOG / ANSWER.","ÇİZELGE HÜCRESİ AÇIK. FİİLLER: DİNLE / KAYDET / YANITLA."
"d5.obs.sys.004","LOG APPENDED. CELL CLOSED.","KAYIT EKLENDİ. HÜCRE KAPANDI."
"d5.obs.sys.005","TRANSMISSION: CARRIER ONLY. 3.0 SECONDS. SOURCE: KULAK.","İLETİM: YALNIZCA TAŞIYICI. 3.0 SANİYE. KAYNAK: KULAK."
"d5.obs.ticker.001","...UNAUTHORIZED HIGH-POWER TRANSMISSION FROM STATE DEEP-SPACE FACILITY... RIO SCALE RAISED TO 7...","...DEVLETE AİT DERİN UZAY TESİSİNDEN İZİNSİZ YÜKSEK GÜÇLÜ İLETİM... RIO ÖLÇEĞİ 7'YE YÜKSELTİLDİ..."
"d5.road.choice.001","LISTEN TO THE ECHO","YANKIYI DİNLE"
"d5.road.choice.002","RIDE ON","YOLA DEVAM ET"
"d5.road.hoca.001","The echo came back early. Before the call finished. Echoes don't... lead.","Yankı erken döndü. Ezan bitmeden. Yankılar... öne geçmez."
"d5.road.ismet.001","Mountain's keen tonight.","Dağ bu gece tetikte."
"d5.town.ada.001","Dr. Aydın. Ada Reyes, IAA. SETI liaison. They send me when the Rio number gets embarrassing.","Dr. Aydın. Ada Reyes, IAA. SETI irtibat görevlisi. Rio Ölçeği utanç verici hale gelince beni gönderiyorlar."
"d5.town.ada.002","Play me everything. Don't summarize. People summarize the wrong parts.","Her şeyi çal bana. Özetleme. İnsanlar hep yanlış kısmı özetler."
"d5.town.ada.003","Good answer. The right amount of tired, too. Start at the beginning.","İyi cevap. Yorgunluğun ölçüsü de tam kıvamında. Baştan başla."
"d5.town.ada.004","...Almost everything, then. Noted. Not judged — noted.","...Neredeyse her şey demek ki. Not edildi. Yargılanmadı — sadece not edildi."
"d5.town.ada.005","There. That one — hear the lift at the start? Dawn song. It does that coming over your horizon.","İşte. Şu — başındaki yükselişi duyuyor musun? Şafak şarkısı. Ufkunun üzerinden gelirken hep böyle yapıyor."
"d5.town.ada.006","That one's a contact call. Short, spaced, waiting. Birds do it when they've lost the flock.","O bir temas çağrısı. Kısa, aralıklı, bekleyen. Kuşlar sürüyü kaybettiklerinde böyle yapar."
"d5.town.ada.007","And that — that's the one I don't like. A mimic phrase. And underneath it, the counting song.","Ve şu — işte hoşuma gitmeyen o. Bir taklit ifadesi. Altında da sayma şarkısı."
"d5.town.ada.008","Taxonomy is how I stay calm, Doctor. Unknown call. Warm-blooded. Overcaffeinated. See? Calmer already.","Taksonomi sakin kalma yöntemim, Doktor. Bilinmeyen çağrı. Sıcakkanlı. Fazla kafeinli. Gördün mü? Şimdiden sakinleştim."
"d5.town.choice.001","PLAY EVERYTHING","HER ŞEYİ ÇAL"
"d5.town.choice.002","KEEP ONE BACK","BİRİNİ SAKLA"
"d5.town.havva.001","The TV people asked for the road to the observatory. I sent them to the trout farm.","TV'ciler gözlemevine giden yolu sordu. Ben de alabalık çiftliğine yolladım."
"d5.town.havva.002","It's a lovely drive. Great skill, zero shame. Go — they'll circle back by noon.","Güzel bir yoldur. Ustalık bu — hiç utanmadan. Gitsinler, öğleye kalmaz dönüp gelirler."
"d5.town.hoca.001","Havva. That's an hour the wrong way.","Havva. Ters yönde bir saatlik yol o."
"d5.town.hoca.002","Everything is eight days of tape, Dr. Reyes.","Her şey sekiz günlük bant demek, Dr. Reyes."
"d5.town.hoca.003","Everything essential, then. Some of it is... mine, still. For now.","Öyleyse gerekli olan her şey. Bir kısmı hâlâ... benim. Şimdilik."
"d5.town.hoca.004","You talk about it like it's alive in a hedge somewhere.","Ondan bahsederken sanki bir çalılıkta yaşıyormuş gibi konuşuyorsun."
"d6.home.hoca.001","One-thirty. No point pretending the ceiling is interesting.","Bir buçuk. Tavanın ilginç olduğuna inanır gibi yapmanın anlamı yok."
"d6.home.hoca.002","Breakfast is early, deputy. Guard the house.","Kahvaltı erken, muavin. Evi kolla."
"d6.home.yildiz.001","Mrr. (She watches him dress. She does not ask him to stay. Cats don't.)","Mrr. (Giyinmesini izler. Kalmasını istemez. Kediler istemez.)"
"d6.obs.choice.001","REACH FOR THE ERASER","SİLGİYE UZAN"
"d6.obs.choice.002","DON'T","YAPMA"
"d6.obs.ebru.001","In kilometers that's... ha. Look at me. ...Ninety-nine million. Circle it. CIRCLE it.","Kilometreye çevirince... ha. Bana bak. ...Doksan dokuz milyon. Daire içine al. DAİRE içine al."
"d6.obs.ebru.002","Then a ship can — Hocam. A crew could reach it. That's not fiction. That's a delta-v budget.","O zaman bir gemi — Hocam. Bir mürettebat oraya ulaşabilir. Bu kurgu değil. Bu bir delta-v bütçesi."
"d6.obs.ebru.003","It's four in the morning and I'm eating lokum at a whiteboard that just changed the species.","Saat gecenin dördü, ben de az önce türü değiştiren bir yazı tahtasının karşısında lokum yiyorum."
"d6.obs.ebru.004","Don't look at me. The dance happens or I start crying. Those are the options.","Bana bakma. Ya dans olur ya ben ağlamaya başlarım. Seçenekler bunlar."
"d6.obs.ebru.005","Round trip at that range is eight hours sixteen minutes. Against: eleven minutes. Hocam. Against ELEVEN.","O menzilde gidiş dönüş sekiz saat on altı dakika. Buna karşı: on bir dakika. Hocam. ON BİRE karşı."
"d6.obs.ebru.006","Put it down, Hocam. It stays. Both of them stay.","Bırak onu, Hocam. Kalıyor. İkisi de kalıyor."
"d6.obs.ebru.007","Nobody touches that board. I'll sleep in front of it if I have to.","O tahtaya kimse dokunmuyor. Gerekirse önünde uyurum."
"d6.obs.hoca.001","There it goes. Somebody's answer, on everybody's behalf.","İşte gitti. Birinin cevabı, herkes adına."
"d6.obs.hoca.002","Eleven minutes. It waited eleven minutes and — this isn't the pattern. This is long. Dense. Addressed.","On bir dakika. On bir dakika bekledi ve — bu o örüntü değil. Bu uzun. Yoğun. Adresli."
"d6.obs.hoca.003","Hands. Work. Record first, shake later.","Eller. İş. Önce kaydet, sonra titre."
"d6.obs.hoca.004","Then the language has a postcode, Lena.","O zaman bu dilin bir posta kodu var, Lena."
"d6.obs.hoca.005","Reply out at 02:13. Answer in at 02:24. Eleven minutes, round trip. Light goes both ways. So.","Giden cevap: 02:13. Gelen yanıt: 02:24. On bir dakika, gidiş-dönüş. Işık iki yönde de gider. Yani."
"d6.obs.hoca.006","That's inside the orbit of Mars.","Bu, Mars'ın yörüngesinin içinde."
"d6.obs.hoca.007","It's not light-years away. It's HERE. Inside the system.","Işık yılları uzakta değil. BURADA. Sistemin içinde."
"d6.obs.hoca.008","Chew faster. We write this up before I stop believing it.","Daha hızlı çiğne. Buna inanmaktan vazgeçmeden yazıya dökelim."
"d6.obs.hoca.009","Dance ratified. Proceed.","Dans onaylandı. Devam."
"d6.obs.hoca.010","Twenty-nine point eight astronomical units. Four light-hours out. Neptune's doorstep. ...Wait.","Yirmi dokuz virgül sekiz astronomik birim. Dört ışık saati uzaklıkta. Neptün'ün eşiği. ...Dur."
"d6.obs.hoca.011","Then we do the arithmetic nobody wants. Departure time of the reply. Write it like we mean it.","O zaman kimsenin istemediği hesabı yaparız. Cevabın çıkış saatini. Ciddiysek öyle yazalım."
"d6.obs.hoca.012","The reply left the Object three hours and fifty-seven minutes BEFORE the question was transmitted.","Cevap, Nesne'den soru gönderilmeden üç saat elli yedi dakika ÖNCE ayrıldı."
"d6.obs.hoca.013","Either the physics is wrong, or it answered before it was asked.","Ya fizik yanlış, ya da soru sorulmadan önce cevaplandı."
"d6.obs.hoca.014","...I actually reached. Look at me. A scientist.","...Gerçekten de uzandım. Şuna bak. Bir bilim insanı."
"d6.obs.hoca.015","Neither number comes off. We just learn to stand in the room with them.","İkisi de silinmiyor. Sadece onlarla aynı odada durmayı öğreniyoruz."
"d6.obs.lena.001","Millbrook has it too. Full structure, full duration. But Deniz — here, it's noise. Structured noise.","Millbrook'ta da var. Tam yapı, tam süre. Ama Deniz — bizde gürültü bu. Yapılı gürültü."
"d6.obs.lena.002","It's only language on yours.","Dil hâline gelmesi sadece sizinkinde."
"d6.obs.metin.001","Erase one. Whichever lets you sleep.","Birini sil. Hangisi uyutursa."
"d6.obs.sys.001","02:13 — WIRE REBROADCAST: STATE FACILITY REPLY TRANSMITTED.","02:13 — AJANS TEKRARI: DEVLET TESİSİ YANITI İLETİLDİ."
"d6.obs.sys.002","02:24.","02:24."
"d6.obs.sys.003","RECORDING. DURATION: 11:00.","KAYIT. SÜRE: 11:00."
"d6.obs.sys.004","d ≤ c·t/2 = 5.5 LIGHT-MINUTES.","d ≤ c·t/2 = 5.5 IŞIK-DAKİKA."
"d6.obs.sys.005","GLOBAL VLBI NETWORK — BASELINE SOLUTIONS CONVERGING...","KÜRESEL VLBI AĞI — TABAN ÇÖZÜMLERİ YAKINSIYOR..."
"d6.obs.sys.006","FAX RECEIVING... LINE 12 OF 40... LINE 13...","FAKS ALINIYOR... SATIR 12/40... SATIR 13..."
"d6.obs.sys.007","SOLUTION: DARK OBJECT. INBOUND. HYPERBOLIC. RANGE: 29.8 AU.","ÇÖZÜM: KARANLIK NESNE. YAKLAŞIYOR. HİPERBOLİK. MENZİL: 29.8 AU."
"d6.obs.ticker.001","...OBJECT DESIGNATED... PRESS ADOPTS LOCAL NAME 'KUYU' — 'THE WELL' — A HOLE IN THE SKY, FALLING TOWARD US...","...NESNE ADLANDIRILDI... BASIN YEREL ADI BENİMSEDİ: 'KUYU'... GÖKYÜZÜNDE BİR DELİK, ÜZERİMİZE DÜŞÜYOR..."
"d6.town.choice.001","TELL THE TRUTH","GERÇEĞİ SÖYLE"
"d6.town.choice.002","DEFLECT","GEÇİŞTİR"
"d6.town.choice.003","STOP BY THE BARBER","BERBERE UĞRA"
"d6.town.choice.004","PASS","GEÇ"
"d6.town.choice.005","WALK DEĞİRMEN STREET","DEĞİRMEN SOKAK'TA YÜRÜ"
"d6.town.choice.006","HEAD BACK UP","YUKARI DÖN"
"d6.town.elif.001","It's not getting my notebook wet, Hoca. I checked. It's not getting anything wet.","Defterimi ıslatmıyor, Hoca. Baktım. Hiçbir şeyi ıslatmıyor."
"d6.town.hoca.001","Close like winter, Şükrü Bey. It's coming to us. We'd have to go out to meet it.","Kış gibi yakın, Şükrü Bey. O bize geliyor. Onu karşılamaya çıkmamız gerekir."
"d6.town.hoca.002","Close like the mountain. It just stands there. Looking impressive.","Dağ gibi yakın. Sadece orada duruyor. Etkileyici görünerek."
"d6.town.hoca.003","Blank, not broken. There's a phrase that's going to follow us around.","Boş, bozuk değil. Peşimizi bırakmayacak bir laf bu."
"d6.town.hoca.004","The calendar in the mirror... that's tomorrow's date. In the glass. Only in the glass.","Aynadaki takvim... o, yarının tarihi. Camda. Sadece camda."
"d6.town.hoca.005","Rain. From a clear sky. On this street and no other. And the puddles — the puddles don't ripple.","Yağmur. Açık bir gökyüzünden. Sadece bu sokakta, başka hiçbir yerde değil. Ve su birikintileri — su birikintileri dalgalanmıyor."
"d6.town.hoca.006","Go home, Elif. ...And write it down first.","Eve git, Elif. ...Ama önce yaz."
"d6.town.hoca.007","I'll sleep at the observatory tonight. The town looks better from above lately. That should worry me more than it does.","Bu gece gözlemevinde uyuyacağım. Kasaba son zamanlarda yukarıdan daha iyi görünüyor. Bu, beni olduğundan daha çok endişelendirmeli."
"d6.town.husnu.001","Sit. The window's better light anyway. The mirror and I aren't speaking.","Otur. Zaten ışık pencereden daha güzel vuruyor. Aynayla aramız bozuk."
"d6.town.sukru.001","They're saying it's close. Close like the mountain, or close like winter?","Yakın olduğunu söylüyorlar. Dağ gibi mi yakın, kış gibi mi?"
"d6.town.sukru.002","...Then we do what we do for winter. Stack wood. Keep the stove lit. Sit closer.","...O zaman kış için ne yapıyorsak onu yaparız. Odun istifleriz. Sobayı yanık tutarız. Sokulup otururuz."
"d6.town.sukru.003","Hm. The mountain, we know. You'd tell me if it were winter. ...You'd tell me.","Hm. Dağı biliriz. Kış olsa söylerdin bana. ...Söylerdin bana."
"d6.town.ticker.001","...OFFICIALS: OBJECT IS NEAR, REACHABLE; INTERCEPT FEASIBILITY STUDY ORDERED...","...YETKİLİLER: NESNE YAKIN VE ULAŞILABİLİR; YAKALAMA FİZİBİLİTE ÇALIŞMASI EMREDİLDİ..."
"d6.town.ticker.002","...RIO SCALE RAISED TO 8...","...RIO ÖLÇEĞİ 8'E YÜKSELTİLDİ..."
"d6.town.ticker.003","...KUIPER PROBE RETASKED FOR EARLY FLYBY HAS GONE SILENT... ENGINEERS: ELECTRONICS 'BLANK, NOT BROKEN'...","...ERKEN YAKIN GEÇİŞ İÇİN GÖREVİ DEĞİŞTİRİLEN KUIPER SONDASI SESSİZLİĞE GÖMÜLDÜ... MÜHENDİSLER: ELEKTRONİK 'BOŞ, BOZUK DEĞİL'..."
"d7.home.hoca.001","Test day. Five stations, one sky, sealed envelopes.","Sınav günü. Beş istasyon, tek gökyüzü, mühürlü zarflar."
"d7.home.hoca.002","If the correlation breaks today, I'm a man with a strange dish and a stack of paper.","Korelasyon bugün bozulursa, tuhaf bir çanağı ve bir tomar kâğıdı olan bir adamım."
"d7.home.hoca.003","If it doesn't break... don't wait up, deputy.","Bozulmazsa... beni bekleme, vekil."
"d7.home.yildiz.001","Mrrp.","Mırrp."
"d7.launch.ada.001","One known face is statistically sufficient, Doctor. Field note: six heartbeats, one signal.","Bilinen tek bir yüz istatistiksel olarak yeterli, Doktor. Saha notu: altı kalp atışı, tek sinyal."
"d7.launch.hoca.001","Ground log, final entry. This is Deniz Aydın, Sarptepe. The flowers are watered.","Yer kaydı, son giriş. Ben Deniz Aydın, Sarptepe. Çiçekler sulandı."
"d7.launch.hoca.002","Still receiving.","Hâlâ alıyorum."
"d7.launch.sys.001","T-MINUS FOUR MINUTES. CHECKLISTS RUNNING IN THREE LANGUAGES.","T EKSİ DÖRT DAKİKA. KONTROL LİSTELERİ ÜÇ DİLDE ÇALIŞIYOR."
"d7.launch.sys.002","GUIDANCE: GREEN. RECEIVER: ABOARD.","GÜDÜM: YEŞİL. ALICI: GEMİDE."
"d7.launch.ticker.001","...LIVE: ORPHEUS LAUNCH... A TOWN OF EIGHT HUNDRED WATCHES ONE OF ITS OWN LEAVE THE PLANET...","...CANLI: ORPHEUS FIRLATMASI... SEKİZ YÜZ KİŞİLİK BİR KASABA, KENDİ EVLADININ GEZEGENİ TERK EDİŞİNİ İZLİYOR..."
"d7.launch.voss.001","Synchronize.","Senkronize et."
"d7.obs.ada.001","Five stations. Randomized double-blind schedule. Metin holds the envelope and even he doesn't know. We do this cruelly or not at all.","Beş istasyon. Rastgele sıralanmış çift kör program. Zarfı Metin tutuyor, o bile bilmiyor. Ya acımasızca yaparız ya hiç yapmayız."
"d7.obs.ada.002","Cruel test one: Deniz drives Millbrook's feed by remote. If it's the man, it follows the man.","Acımasız test bir: Deniz, Millbrook'un beslemesini uzaktan kumanda ediyor. Eğer o adamsa, adamı izler."
"d7.obs.ada.003","Correlation persists. Test thirty-one of thirty-one. (click)","Korelasyon devam ediyor. Otuz bir testin otuz biri. (tık)"
"d7.obs.ada.004","Every protocol we have assumed the message would be old, distant, and indifferent. This one is none of those.","Elimizdeki her protokol, mesajın eski, uzak ve kayıtsız olacağını varsaymış. Bu, bunların hiçbiri değil."
"d7.obs.ada.005","One probe silent already. Its sister will follow — I'd put money on it, and I hate money.","Bir sonda çoktan sessiz. Kardeşi de onu izleyecek — buna para yatırırım, oysa paradan nefret ederim."
"d7.obs.ada.006","And the other launch happens whether we like it or not. Kuyu grants exactly one window at perihelion. One.","Ve diğer fırlatma, istesek de istemesek de gerçekleşiyor. Kuyu, günberinde tam olarak bir pencere veriyor. Bir."
"d7.obs.ada.007","The instrument is the man, Deniz. I've read my own taxonomy. I know what I'm asking.","Aygıt, adamın ta kendisi, Deniz. Kendi taksonomimi okudum. Ne istediğimi biliyorum."
"d7.obs.ada.008","...Thank you. I'll tell them. The room heard your silence as a yes. Rooms do that.","...Teşekkür ederim. Onlara söylerim. Oda, sessizliğini evet olarak duydu. Odalar bunu yapar."
"d7.obs.choice.001","SAY YES","EVET DE"
"d7.obs.choice.002","SAY NOTHING","HİÇBİR ŞEY SÖYLEME"
"d7.obs.ebru.001","Every pass. It's every pass, Hocam. Thirty runs and the pattern hasn't blinked once.","Her geçişte. Her geçişte, Hocam. Otuz deneme oldu, örüntü bir kez bile göz kırpmadı."
"d7.obs.ebru.002","It's not you at a desk. It's your dish. It is YOUR dish.","Masadaki sen değilsin. Çanağın. SENİN çanağın."
"d7.obs.hoca.001","It knows which dish is yours.","Hangi çanağın senin olduğunu biliyor."
"d7.obs.hoca.002","The same whiteboard. Of course it's the same whiteboard.","Aynı yazı tahtası. Elbette aynı yazı tahtası."
"d7.obs.hoca.003","(You answered it once. Three seconds, carrier only. Whatever is up there — you are not a stranger to it.)","(Ona bir kez cevap verdin. Üç saniye, sadece taşıyıcı dalga. Yukarıda her ne varsa — sen ona yabancı değilsin.)"
"d7.obs.hoca.004","(You never answered it. Not once. And it still learned your dish by heart.)","(Ona hiç cevap vermedin. Bir kez bile. Yine de çanağını ezbere öğrendi.)"
"d7.obs.hoca.005","Yes. ...Someone has to be the receiver. It picked. Long ago, I think.","Evet. ...Biri alıcı olmak zorunda. O seçti. Çok uzun zaman önce, sanırım."
"d7.obs.sys.001","BLIND SCHEDULE SEALED. PASS SEQUENCE UNKNOWN TO ALL PARTIES.","KÖR PROGRAM MÜHÜRLENDİ. GEÇİŞ SIRASI HİÇBİR TARAFÇA BİLİNMİYOR."
"d7.obs.sys.002","PASS 1 — MILLBROOK: STRUCTURED NOISE.","GEÇİŞ 1 — MILLBROOK: YAPILANDIRILMIŞ GÜRÜLTÜ."
"d7.obs.sys.003","PASS 2 — HARTEBEESTHOEK: NOISE.","GEÇİŞ 2 — HARTEBEESTHOEK: GÜRÜLTÜ."
"d7.obs.sys.004","PASS 3 — KULAK: LANGUAGE.","GEÇİŞ 3 — KULAK: DİL."
"d7.obs.sys.005","DENİZ @ MILLBROOK (REMOTE): NOISE.","DENİZ @ MILLBROOK (UZAKTAN): GÜRÜLTÜ."
"d7.obs.sys.006","EBRU @ KULAK CONSOLE: LANGUAGE.","EBRU @ KULAK KONSOLU: DİL."
"d7.obs.sys.007","SLIDE: MARS OPERATIONS PRECEDENT — A REACTIVE SOURCE CANNOT BE WORKED AT HOURS OF ROUND-TRIP LATENCY. JUDGMENT MUST BE ON SITE.","SLAYT: MARS OPERASYONLARI EMSALİ — TEPKİSEL BİR KAYNAK, SAATLERCE SÜREN GİDİŞ-DÖNÜŞ GECİKMESİYLE ÇALIŞILAMAZ. KARAR YERİNDE VERİLMELİDİR."
"d7.obs.tezcan.001","Then it is decided in this room, with every corner we cut listed on the board where all can see it. If we do this, we do it awake.","O zaman bu odada karar verilir, kestiğimiz her köşe herkesin görebileceği şekilde tahtaya yazılır. Bunu yapacaksak, gözü açık yaparız."
"d7.obs.ticker.001","...CREW ANNOUNCED FOR INTERCEPT MISSION 'ORPHEUS'... SUIT FITTINGS BEGIN...","...'ORPHEUS' YAKALAMA GÖREVİ İÇİN MÜRETTEBAT AÇIKLANDI... SKAFANDR PROVALARI BAŞLADI..."
"d7.obs.ticker.002","...SARPTEPE: DOCTORAL RESEARCHER EBRU NAMED INTERIM SCIENCE LEAD...","...SARPTEPE: DOKTORA ARAŞTIRMACISI EBRU, GEÇİCİ BİLİM SORUMLUSU OLARAK ATANDI..."
"d7.obs.ticker.003","...SECOND PROBE LOST ON APPROACH... 'BLANK, NOT BROKEN' — THE PHRASE, AGAIN...","...İKİNCİ SONDA YAKLAŞIRKEN KAYBEDİLDİ... 'BOŞ, BOZUK DEĞİL' — YİNE AYNI İFADE..."
"d7.sendoff.ayse.001","They'll have doctors up there. Be exactly this much braver than you were about the tetanus shot.","Yukarıda doktorları olur. Tetanos iğnesinde olduğun kadar cesur ol, o kadarı yeter."
"d7.sendoff.cemal.001","Up there, if there's a match — you know the rule. Losing side, Hoca. Losing side.","Yukarıda maç olursa — kuralı bilirsin. Kaybeden taraf, Hoca. Kaybeden taraf."
"d7.sendoff.choice.001","PROMISE","SÖZ VER"
"d7.sendoff.choice.002","SAY NOTHING","HİÇBİR ŞEY SÖYLEME"
"d7.sendoff.elif.001","First page. Your answer, my handwriting: 'The sky is full of last words, still arriving.'","İlk sayfa. Senin cevabın, benim el yazım: 'Gökyüzü son sözlerle dolu, hâlâ geliyor.'"
"d7.sendoff.elif.002","First page. Your answer, my handwriting: 'Tonight's sky is old news. All of it.'","İlk sayfa. Senin cevabın, benim el yazım: 'Bu geceki gökyüzü eski haber. Tamamı.'"
"d7.sendoff.elif.003","Take it. So you don't contradict yourself up there. The notebook will be checking.","Al bunu. Yukarıda kendinle çelişme diye. Defter kontrol edecek."
"d7.sendoff.fadime.001","The end-piece. Wrapped for a journey. It keeps three days. Come back hungry.","Ucu. Yola sarıldı. Üç gün dayanır. Aç dön."
"d7.sendoff.ferit.001","Double or nothing on the Mars bet: come back and tell me what it was. IN PERSON. Those are the terms.","Mars bahsinde iki katı ya da hiç: dön, ne olduğunu anlat bana. YÜZ YÜZE. Şartlar bunlar."
"d7.sendoff.havva.001","A blank envelope. Stamped. Address it from up there. I deliver everything. Everything.","Boş bir zarf. Pullu. Yukarıdan adresle. Ben her şeyi teslim ederim. Her şeyi."
"d7.sendoff.hoca.001","A precise, silent haircut. And at the end, he turns the chair away from the mirror. ...Thank you, Hüsnü.","Tam, sessiz bir tıraş. Sonunda sandalyeyi aynadan çeviriyor. ...Teşekkürler, Hüsnü."
"d7.sendoff.hoca.002","I'll be back before they notice, Saniye Teyze. I promise. Keep the deputy fat.","Fark ettirmeden dönerim, Saniye Teyze. Söz veriyorum. Vekili şişman tut."
"d7.sendoff.hoca.003","First time I've ever seen the front seat empty. It's the loudest seat on the bus.","Ön koltuğu ilk kez boş görüyorum. Otobüsün en gürültülü koltuğu bu."
"d7.sendoff.hoca.004","Kulak just tipped. Two degrees. ...Metin. The closest thing to a wave a thirty-two-meter instrument can do.","Kulak az önce eğildi. İki derece. ...Metin. Otuz iki metrelik bir aletten çıkabilecek en yakın el sallama bu."
"d7.sendoff.ismet.001","Letters ride up front — the whole town's in the shoebox. You're in the back today, Hoca. Guests of honor ride behind.","Mektuplar önde gider — koca kasaba şu ayakkabı kutusunda. Bugün senin yerin arkada, Hoca. Onur konukları arkada oturur."
"d7.sendoff.kadir.001","(He pours the second glass anyway, and covers it with the saucer.) It'll wait.","(Yine de ikinci bardağı doldurur, tabakla örter.) Bekler."
"d7.sendoff.musa.001","Lentils, cat food — and I've forgotten how to charge you today. Take it. The small tin is for the deputy.","Mercimek, kedi maması — bugün senden para almayı unuttum işte. Al. Küçük teneke vekile."
"d7.sendoff.nurten.001","A full bottle. There are no pharmacies where you're going. There is definitely screen strain.","Dolu bir şişe. Gittiğin yerde eczane yok. Ekran yorgunluğu kesin var."
"d7.sendoff.osman.001","Copper wire. For luck. Ground yourself to something, Deniz Bey.","Bakır tel. Uğur için. Bir şeye topraklan, Deniz Bey."
"d7.sendoff.saniye.001","Come here. Off the road. Some things aren't for the cameras — and this is the whole of it.","Gel buraya. Yoldan çekil. Bazı şeyler kameraya girmez — bu da baştan sona öyle."
"d7.sendoff.saniye.002","The key. Don't leave the flowers without water. You'll be back before they notice.","Anahtar. Çiçekleri susuz bırakma. Fark etmeden dönersin."
"d7.sendoff.sukru.001","Sit. One last game. ...No. No game. I concede. Consider it your birthday.","Otur. Son bir oyun. ...Yok. Oyun yok. Pes ediyorum. Doğum günün say."
"d7.sendoff.sukru.002","You told me it was winter, and you didn't dress it up. The stove is lit whenever you're back, Deniz.","Kış dedin bana, süslemeden dedin. Soba, ne zaman dönersen o zaman yanar, Deniz."
"d7.sendoff.sukru.003","You never did tell me which it was. Mountain or winter. Fine. Tell me when you're back. In person.","Hangisi olduğunu hiç söylemedin. Dağ mı, kış mı. Neyse. Dönünce söylersin. Yüz yüze."
"d7.sendoff.tarik.001","Taşlıca has sent its sons to the army, to Germany, to the sea. Never higher. You go with all of it, Deniz Aydın.","Taşlıca askere, Almanya'ya, denize evlat gönderdi hep. Hiç bu kadar yükseğe değil. Hepsiyle gidiyorsun, Deniz Aydın."
"d7.sendoff.tarik.002","Your father listened downward, to us. Someone had to do the other direction eventually.","Baban aşağıya, bize kulak verdi. Öbür yönü er geç biri yapacaktı."
"d7.sendoff.veli.001","The flock faces the mountain some nights now. I don't correct them. You'll see why before I do.","Sürü bazı geceler dağa dönüyor artık. Düzeltmiyorum onları. Nedenini benden önce sen göreceksin."
"d7.sendoff.zeliha.001","Lokum for the crew. The label has all six names — I checked the spelling twice. Sweetness is logistics.","Mürettebata lokum. Etikette altı isim de var — yazımını iki kere kontrol ettim. Tatlılık da lojistiktir."
"d7.town.choice.001","WATCH THE DOGS","KÖPEKLERİ İZLE"
"d7.town.choice.002","LOOK AWAY","GÖZÜNÜ KAÇIR"
"d7.town.hoca.001","Ten seconds. Facing the observatory. Silent. Then done — and somehow you know it is done forever.","On saniye. Gözlemevine dönük. Sessiz. Sonra biter — ve nedense, sonsuza dek bittiğini bilirsin."
"d7.town.veli.001","Hoca. Look at the dogs. Every dog in town. Same moment. Same direction.","Hoca. Köpeklere bak. Kasabadaki bütün köpekler. Aynı an. Aynı yön."
